  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Solid-Mesh:Force)
    58       1   2.27115849e-02   6.47040959e-01
    58       2   4.59368580e-06   2.89803427e-03
    59       1   2.59943880e-02   7.04042833e-01
    59       2   1.23675075e-05   3.25177584e-03
    60       1   2.83532325e-02   8.32763427e-01
    60       2   2.06589706e-05   3.15000447e-03
    61       1   2.79096558e-02   8.44568198e-01
    61       2   9.70718950e-06   2.25405360e-03
    62       1   2.71490073e-02   7.59121797e-01
    62       2   1.24511721e-04   5.26932979e-01
    62       3   7.32732624e-06   6.27881585e-01
    62       4   7.23825410e-06   4.89865030e-01
    62       5   2.04446647e-05   4.12883926e-01
    62       6   2.29221611e-06   5.49331722e-01
    62       7   2.15462789e-06   5.42104380e-01
    62       8   9.50046583e-07   3.87184522e-01
    62       9   1.76936826e-06   4.98901005e-01
    62      10   2.83583316e-07   9.92435359e-01
    62      11   1.16927673e-07   3.81762442e-01
    62      12   1.26652686e-07   6.16802486e-01
    62      13   1.48537620e-07   4.41755762e-01
    62      14   2.97697502e-07   6.46070477e-01
    62      15   3.99362873e-07   7.04327416e-01
    62      16   2.54118460e-06   9.44125639e-01
    62      17   9.18114124e-06   3.85877928e-01
    62      18   7.38741558e-06   4.02282800e-01
    62      19   1.74626259e-07   3.84363682e-01
    62      20   4.11976354e-07   4.18737151e-01
    62      21   2.34187076e-07   6.39380301e-01
    62      22   2.02386284e-06   8.49657372e-01
    62      23   3.30884482e-07   1.00445675e+00
    62      24   2.63234728e-07   1.86860635e+00
    62      25   2.76561262e-07   7.62767755e-01
    62      26   3.22049152e-08   6.61348248e-01
    62      27   2.55117888e-08   6.46202124e-01
    62      28   3.46493965e-08   5.71104269e-01
    62      29   1.16549201e-08   5.76478745e-01
    62      30   1.23866758e-08   5.73979642e-01
    62      31   7.73539552e-07   7.85372923e-01
    62      32   1.26173169e-07   1.20323007e+00
    62      33   5.48747564e-07   3.88781060e-01
    62      34   7.73346106e-07   3.21284014e+00
    62      35   6.93337335e-08   6.28582834e-01
    62      36   9.00097854e-08   5.79914850e-01
    62      37   2.95397120e-06   9.50920961e-01
    62      38   3.08686878e-08   5.48235786e-01
    62      39   2.32643656e-08   4.45876189e-01
    62      40   7.36580149e-07   5.38695512e-01
    62      41   5.91285619e-07   8.00382199e-01
    62      42   2.80178470e-08   4.46759700e-01
    62      43   1.90412322e-08   4.93493011e-01
